DATE,INDPRO
9/1/2020,95.8914
10/1/2020,96.5256
11/1/2020,96.9529
12/1/2020,98.2039
1/1/2021,98.8135
2/1/2021,95.5072
3/1/2021,98.1929
4/1/2021,98.3317
5/1/2021,99.1867
6/1/2021,99.6483
7/1/2021,100.0668
8/1/2021,100.0412
9/1/2021,98.9955
10/1/2021,100.3542
11/1/2021,101.2684
12/1/2021,101.1948
1/1/2022,101.2146
2/1/2022,101.8458
3/1/2022,102.6732
4/1/2022,102.9024
5/1/2022,102.9659
6/1/2022,102.8224
7/1/2022,103.0505
8/1/2022,103.1703
9/1/2022,103.5326
10/1/2022,103.4442
11/1/2022,103.1058
12/1/2022,101.8266
1/1/2023,102.7476
2/1/2023,102.8003
3/1/2023,102.8143
4/1/2023,103.2241
5/1/2023,102.9809
6/1/2023,102.3809
7/1/2023,103.0722
8/1/2023,103.0951
9/1/2023,103.3081
10/1/2023,102.5781
11/1/2023,102.8868
12/1/2023,102.6309
1/1/2024,101.483
2/1/2024,102.7267
3/1/2024,102.5186
4/1/2024,102.4479
5/1/2024,103.2156
6/1/2024,103.2798
7/1/2024,102.3058
8/1/2024,103.1389
